"codigo_municipio";"nome_municipio";"sigla_uf"
"1";"ACRELANDIA";"AC"
"2";"ASSIS BRASIL";"AC"
"3";"BRASILEIA";"AC"
"4";"BUJARI";"AC"
"5";"CAPIXABA";"AC"
"6";"CRUZEIRO DO SUL";"AC"
"7";"EPITACIOLANDIA";"AC"
"8";"FEIJO";"AC"
"9";"JORDAO";"AC"
"10";"MANCIO LIMA";"AC"
"11";"MANOEL URBANO";"AC"
"12";"MARECHAL THAUMATURGO";"AC"
"13";"PLACIDO DE CASTRO";"AC"
"14";"PORTO ACRE";"AC"
"15";"PORTO WALTER";"AC"
"16";"RIO BRANCO";"AC"
"17";"RODRIGUES ALVES";"AC"
"18";"SANTA ROSA DO PURUS";"AC"
"19";"SENA MADUREIRA";"AC"
"20";"SENADOR GUIOMARD";"AC"
"21";"TARAUACA";"AC"
"22";"XAPURI";"AC"
"23";"AGUA BRANCA";"AL"
"24";"ANADIA";"AL"
"25";"ARAPIRACA";"AL"
"26";"ATALAIA";"AL"
"27";"BARRA DE SANTO ANTONIO";"AL"
"28";"BARRA DE SAO MIGUEL";"AL"
"29";"BATALHA";"AL"
"30";"BELEM";"AL"
"31";"BELO MONTE";"AL"
"32";"BOCA DA MATA";"AL"
"33";"BRANQUINHA";"AL"
"34";"CACIMBINHAS";"AL"
"35";"CAJUEIRO";"AL"
"36";"CAMPESTRE";"AL"
"37";"CAMPO ALEGRE";"AL"
"38";"CAMPO GRANDE";"AL"
"39";"CANAPI";"AL"
"40";"CAPELA";"AL"
"41";"CARNEIROS";"AL"
"42";"CHA PRETA";"AL"
"43";"COITE DO NOIA";"AL"
"44";"COLONIA LEOPOLDINA";"AL"
"45";"COQUEIRO SECO";"AL"
"46";"CORURIPE";"AL"
"47";"CRAIBAS";"AL"
"48";"DELMIRO GOUVEIA";"AL"
"49";"DOIS RIACHOS";"AL"
"50";"ESTRELA DE ALAGOAS";"AL"
"51";"FEIRA GRANDE";"AL"
"52";"FELIZ DESERTO";"AL"
"53";"FLEXEIRAS";"AL"
"54";"GIRAU DO PONCIANO";"AL"
"55";"IBATEGUARA";"AL"
"56";"IGACI";"AL"
"57";"IGREJA NOVA";"AL"
"58";"INHAPI";"AL"
"59";"JACARE DOS HOMENS";"AL"
"60";"JACUIPE";"AL"
"61";"JAPARATINGA";"AL"
"62";"JARAMATAIA";"AL"
"63";"JEQUIA DA PRAIA";"AL"
"64";"JOAQUIM GOMES";"AL"
"65";"JUNDIA";"AL"
"66";"JUNQUEIRO";"AL"
"67";"LAGOA DA CANOA";"AL"
"68";"LIMOEIRO DE ANADIA";"AL"
"69";"MACEIO";"AL"
"70";"MAJOR ISIDORO";"AL"
"71";"MAR VERMELHO";"AL"
"72";"MARAGOGI";"AL"
"73";"MARAVILHA";"AL"
"74";"MARECHAL DEODORO";"AL"
"75";"MARIBONDO";"AL"
"76";"MATA GRANDE";"AL"
"77";"MATRIZ DE CAMARAGIBE";"AL"
"78";"MESSIAS";"AL"
"79";"MINADOR DO NEGRAO";"AL"
"80";"MONTEIROPOLIS";"AL"
"81";"MURICI";"AL"
"82";"NOVO LINO";"AL"
"83";"OLHO D'AGUA DAS FLORES";"AL"
"84";"OLHO D'AGUA DO CASADO";"AL"
"85";"OLHO D'AGUA GRANDE";"AL"
"86";"OLIVENCA";"AL"
"87";"OURO BRANCO";"AL"
"88";"PALESTINA";"AL"
"89";"PALMEIRA DOS INDIOS";"AL"
"90";"PAO DE ACUCAR";"AL"
"91";"PARICONHA";"AL"
"92";"PARIPUEIRA";"AL"
"93";"PASSO DE CAMARAGIBE";"AL"
"94";"PAULO JACINTO";"AL"
"95";"PENEDO";"AL"
"96";"PIACABUCU";"AL"
"97";"PILAR";"AL"
"98";"PINDOBA";"AL"
"99";"PIRANHAS";"AL"
"100";"POCO DAS TRINCHEIRAS";"AL"
"101";"PORTO CALVO";"AL"
"102";"PORTO DE PEDRAS";"AL"
"103";"PORTO REAL DO COLEGIO";"AL"
"104";"QUEBRANGULO";"AL"
"105";"RIO LARGO";"AL"
"106";"ROTEIRO";"AL"
"107";"SANTA LUZIA DO NORTE";"AL"
"108";"SANTANA DO IPANEMA";"AL"
"109";"SANTANA DO MUNDAU";"AL"
"110";"SAO BRAS";"AL"
"111";"SAO JOSE DA LAJE";"AL"
"112";"SAO JOSE DA TAPERA";"AL"
"113";"SAO LUIS DO QUITUNDE";"AL"
"114";"SAO MIGUEL DOS CAMPOS";"AL"
"115";"SAO MIGUEL DOS MILAGRES";"AL"
"116";"SAO SEBASTIAO";"AL"
"117";"SATUBA";"AL"
"118";"SENADOR RUI PALMEIRA";"AL"
"119";"TANQUE D'ARCA";"AL"
"120";"TAQUARANA";"AL"
"121";"TEOTONIO VILELA";"AL"
"122";"TRAIPU";"AL"
"123";"UNIAO DOS PALMARES";"AL"
"124";"VICOSA";"AL"
"125";"ALVARAES";"AM"
"126";"AMATURA";"AM"
"127";"ANAMA";"AM"
"128";"ANORI";"AM"
"129";"APUI";"AM"
"130";"ATALAIA DO NORTE";"AM"
"131";"AUTAZES";"AM"
"132";"BARCELOS";"AM"
"133";"BARREIRINHA";"AM"
"134";"BENJAMIN CONSTANT";"AM"
"135";"BERURI";"AM"
"136";"BOA VISTA DO RAMOS";"AM"
"137";"BOCA DO ACRE";"AM"
"138";"BORBA";"AM"
"139";"CAAPIRANGA";"AM"
"140";"CANUTAMA";"AM"
"141";"CARAUARI";"AM"
"142";"CAREIRO";"AM"
"143";"CAREIRO DA VARZEA";"AM"
"144";"COARI";"AM"
"145";"CODAJAS";"AM"
